Airport,search_intensity,year,week
DFW,55,2012,11
SEA,67,2012,11
PHL,31,2012,11
MIA,68,2012,11
DTW,33,2012,11
BOS,49,2012,11
MSP,48,2012,11
CLT,28,2012,11
PHX,31,2012,11
MCO,78,2012,11
JFK,75,2012,12
LGA,75,2012,12
EWR,75,2012,12
ORD,69,2012,12
LAS,73,2012,12
DEN,37,2012,12
ATL,31,2012,12
SFO,75,2012,12
IAH,86,2012,12
LAX,38,2012,12
DFW,49,2012,12
SEA,69,2012,12
PHL,48,2012,12
MIA,59,2012,12
DTW,51,2012,12
BOS,53,2012,12
MSP,51,2012,12
CLT,41,2012,12
PHX,19,2012,12
MCO,64,2012,12
JFK,74,2012,13
LGA,74,2012,13
EWR,74,2012,13
ORD,57,2012,13
LAS,55,2012,13
DEN,30,2012,13
ATL,33,2012,13
SFO,45,2012,13
IAH,56,2012,13
LAX,35,2012,13
DFW,54,2012,13
SEA,61,2012,13
PHL,50,2012,13
MIA,63,2012,13
DTW,50,2012,13
BOS,48,2012,13
MSP,41,2012,13
CLT,37,2012,13
PHX,23,2012,13
MCO,73,2012,13
JFK,67,2012,14
LGA,67,2012,14
EWR,67,2012,14
ORD,58,2012,14
LAS,68,2012,14
DEN,36,2012,14
ATL,36,2012,14
SFO,60,2012,14
IAH,71,2012,14
LAX,39,2012,14
DFW,54,2012,14
SEA,56,2012,14
PHL,43,2012,14
MIA,74,2012,14
DTW,50,2012,14
BOS,37,2012,14
MSP,50,2012,14
CLT,41,2012,14
PHX,21,2012,14
MCO,59,2012,14
JFK,63,2012,15
LGA,63,2012,15
EWR,63,2012,15
ORD,68,2012,15
LAS,52,2012,15
DEN,35,2012,15
ATL,28,2012,15
SFO,59,2012,15
IAH,74,2012,15
LAX,36,2012,15
DFW,42,2012,15
SEA,64,2012,15
PHL,50,2012,15
MIA,72,2012,15
DTW,59,2012,15
BOS,39,2012,15
MSP,37,2012,15
CLT,37,2012,15
PHX,27,2012,15
MCO,53,2012,15
JFK,85,2012,16
LGA,85,2012,16
EWR,85,2012,16
ORD,72,2012,16
LAS,62,2012,16
DEN,56,2012,16
ATL,32,2012,16
SFO,49,2012,16
IAH,55,2012,16
LAX,41,2012,16
DFW,34,2012,16
SEA,59,2012,16
PHL,54,2012,16
MIA,41,2012,16
DTW,68,2012,16
BOS,58,2012,16
MSP,47,2012,16
CLT,37,2012,16
PHX,21,2012,16
MCO,64,2012,16
JFK,66,2012,17
LGA,66,2012,17
EWR,66,2012,17
ORD,64,2012,17
LAS,61,2012,17
DEN,35,2012,17
ATL,29,2012,17
SFO,58,2012,17
IAH,66,2012,17
LAX,31,2012,17
DFW,42,2012,17
SEA,58,2012,17
PHL,33,2012,17
MIA,65,2012,17
DTW,51,2012,17
BOS,39,2012,17
MSP,37,2012,17
CLT,44,2012,17
PHX,20,2012,17
MCO,61,2012,17
JFK,70,2012,18
LGA,70,2012,18
EWR,70,2012,18
ORD,75,2012,18
LAS,63,2012,18
DEN,57,2012,18
ATL,31,2012,18
SFO,56,2012,18
IAH,58,2012,18
LAX,32,2012,18
DFW,47,2012,18
SEA,63,2012,18
PHL,35,2012,18
MIA,66,2012,18
DTW,36,2012,18
BOS,58,2012,18
MSP,42,2012,18
CLT,34,2012,18
PHX,19,2012,18
MCO,70,2012,18
JFK,80,2012,19
LGA,80,2012,19
EWR,80,2012,19
ORD,59,2012,19
LAS,67,2012,19
DEN,41,2012,19
ATL,30,2012,19
SFO,63,2012,19
IAH,49,2012,19
LAX,33,2012,19
DFW,51,2012,19
SEA,58,2012,19
PHL,58,2012,19
MIA,58,2012,19
DTW,55,2012,19
BOS,54,2012,19
MSP,53,2012,19
CLT,42,2012,19
PHX,20,2012,19
MCO,63,2012,19
JFK,88,2012,20
LGA,88,2012,20
EWR,88,2012,20
ORD,75,2012,20
LAS,71,2012,20
DEN,26,2012,20
ATL,41,2012,20
SFO,58,2012,20
IAH,55,2012,20
LAX,32,2012,20
DFW,65,2012,20
SEA,52,2012,20
PHL,49,2012,20
MIA,63,2012,20
DTW,55,2012,20
BOS,60,2012,20
MSP,62,2012,20
CLT,48,2012,20
PHX,22,2012,20
MCO,71,2012,20
JFK,82,2012,21
LGA,82,2012,21
EWR,82,2012,21
ORD,87,2012,21
LAS,74,2012,21
DEN,51,2012,21
ATL,35,2012,21
SFO,56,2012,21
IAH,68,2012,21
LAX,27,2012,21
DFW,54,2012,21
SEA,71,2012,21
PHL,47,2012,21
MIA,86,2012,21
DTW,58,2012,21
BOS,54,2012,21
MSP,49,2012,21
CLT,42,2012,21
PHX,22,2012,21
MCO,71,2012,21
JFK,71,2012,22
LGA,71,2012,22
EWR,71,2012,22
ORD,64,2012,22
LAS,61,2012,22
DEN,38,2012,22
ATL,38,2012,22
SFO,85,2012,22
IAH,75,2012,22
LAX,36,2012,22
DFW,68,2012,22
SEA,79,2012,22
PHL,48,2012,22
MIA,68,2012,22
DTW,43,2012,22
BOS,47,2012,22
MSP,72,2012,22
CLT,38,2012,22
PHX,25,2012,22
MCO,52,2012,22
JFK,74,2012,23
LGA,74,2012,23
EWR,74,2012,23
ORD,86,2012,23
LAS,77,2012,23
DEN,75,2012,23
ATL,43,2012,23
SFO,72,2012,23
IAH,92,2012,23
LAX,50,2012,23
DFW,66,2012,23
SEA,79,2012,23
PHL,67,2012,23
MIA,71,2012,23
DTW,59,2012,23
BOS,39,2012,23
MSP,68,2012,23
CLT,47,2012,23
PHX,27,2012,23
MCO,83,2012,23
JFK,78,2012,24
LGA,78,2012,24
EWR,78,2012,24
ORD,82,2012,24
LAS,87,2012,24
DEN,56,2012,24
ATL,36,2012,24
SFO,75,2012,24
IAH,76,2012,24
LAX,37,2012,24
DFW,49,2012,24
SEA,100,2012,24
PHL,61,2012,24
MIA,66,2012,24
DTW,71,2012,24
BOS,52,2012,24
MSP,49,2012,24
CLT,46,2012,24
PHX,36,2012,24
MCO,85,2012,24
JFK,69,2012,25
LGA,69,2012,25
EWR,69,2012,25
ORD,78,2012,25
LAS,70,2012,25
DEN,75,2012,25
ATL,40,2012,25
SFO,90,2012,25
IAH,85,2012,25
LAX,40,2012,25
DFW,60,2012,25
SEA,75,2012,25
PHL,56,2012,25
MIA,78,2012,25
DTW,58,2012,25
BOS,60,2012,25
MSP,48,2012,25
CLT,34,2012,25
PHX,36,2012,25
MCO,92,2012,25
JFK,83,2012,26
LGA,83,2012,26
EWR,83,2012,26
ORD,76,2012,26
LAS,63,2012,26
DEN,70,2012,26
ATL,42,2012,26
SFO,81,2012,26
IAH,77,2012,26
LAX,45,2012,26
DFW,57,2012,26
SEA,83,2012,26
PHL,63,2012,26
MIA,67,2012,26
DTW,52,2012,26
BOS,53,2012,26
MSP,45,2012,26
CLT,47,2012,26
PHX,26,2012,26
MCO,73,2012,26
JFK,73,2012,27
LGA,73,2012,27
EWR,73,2012,27
ORD,71,2012,27
LAS,80,2012,27
DEN,64,2012,27
ATL,46,2012,27
SFO,89,2012,27
IAH,100,2012,27
LAX,35,2012,27
DFW,59,2012,27
SEA,67,2012,27
PHL,52,2012,27
MIA,100,2012,27
DTW,61,2012,27
BOS,59,2012,27
MSP,45,2012,27
CLT,40,2012,27
PHX,24,2012,27
MCO,73,2012,27
JFK,85,2012,28
LGA,85,2012,28
EWR,85,2012,28
ORD,75,2012,28
LAS,68,2012,28
DEN,86,2012,28
ATL,41,2012,28
SFO,71,2012,28
IAH,83,2012,28
LAX,37,2012,28
DFW,61,2012,28
SEA,64,2012,28
PHL,66,2012,28
MIA,72,2012,28
DTW,59,2012,28
BOS,60,2012,28
MSP,50,2012,28
CLT,44,2012,28
PHX,40,2012,28
MCO,74,2012,28
JFK,93,2012,29
LGA,93,2012,29
EWR,93,2012,29
ORD,78,2012,29
LAS,81,2012,29
DEN,45,2012,29
ATL,36,2012,29
SFO,73,2012,29
IAH,71,2012,29
LAX,34,2012,29
DFW,64,2012,29
SEA,77,2012,29
PHL,45,2012,29
MIA,63,2012,29
DTW,67,2012,29
BOS,57,2012,29
MSP,55,2012,29
CLT,44,2012,29
PHX,34,2012,29
MCO,72,2012,29
JFK,90,2012,30
LGA,90,2012,30
EWR,90,2012,30
ORD,81,2012,30
LAS,68,2012,30
DEN,53,2012,30
ATL,32,2012,30
SFO,72,2012,30
IAH,73,2012,30
LAX,29,2012,30
DFW,48,2012,30
SEA,81,2012,30
PHL,45,2012,30
MIA,69,2012,30
DTW,66,2012,30
BOS,57,2012,30
MSP,45,2012,30
CLT,38,2012,30
PHX,24,2012,30
MCO,70,2012,30
JFK,90,2012,31
LGA,90,2012,31
EWR,90,2012,31
ORD,75,2012,31
LAS,66,2012,31
DEN,53,2012,31
ATL,37,2012,31
SFO,79,2012,31
IAH,61,2012,31
LAX,39,2012,31
DFW,56,2012,31
SEA,54,2012,31
PHL,62,2012,31
MIA,73,2012,31
DTW,44,2012,31
BOS,55,2012,31
MSP,55,2012,31
CLT,41,2012,31
PHX,22,2012,31
MCO,69,2012,31
JFK,96,2012,32
LGA,96,2012,32
EWR,96,2012,32
ORD,81,2012,32
LAS,72,2012,32
DEN,76,2012,32
ATL,34,2012,32
SFO,61,2012,32
IAH,64,2012,32
LAX,37,2012,32
DFW,59,2012,32
SEA,71,2012,32
PHL,46,2012,32
MIA,76,2012,32
DTW,83,2012,32
BOS,59,2012,32
MSP,55,2012,32
CLT,31,2012,32
PHX,25,2012,32
MCO,60,2012,32
JFK,83,2012,33
LGA,83,2012,33
EWR,83,2012,33
ORD,70,2012,33
LAS,71,2012,33
DEN,52,2012,33
ATL,33,2012,33
SFO,41,2012,33
IAH,59,2012,33
LAX,34,2012,33
DFW,55,2012,33
SEA,58,2012,33
PHL,44,2012,33
MIA,72,2012,33
DTW,47,2012,33
BOS,45,2012,33
MSP,52,2012,33
CLT,53,2012,33
PHX,32,2012,33
MCO,61,2012,33
JFK,76,2012,34
LGA,76,2012,34
EWR,76,2012,34
ORD,78,2012,34
LAS,54,2012,34
DEN,55,2012,34
ATL,37,2012,34
SFO,57,2012,34
IAH,60,2012,34
LAX,42,2012,34
DFW,48,2012,34
SEA,70,2012,34
PHL,39,2012,34
MIA,82,2012,34
DTW,56,2012,34
BOS,63,2012,34
MSP,33,2012,34
CLT,47,2012,34
PHX,25,2012,34
MCO,64,2012,34
JFK,81,2012,35
LGA,81,2012,35
EWR,81,2012,35
ORD,70,2012,35
LAS,65,2012,35
DEN,55,2012,35
ATL,33,2012,35
SFO,57,2012,35
IAH,55,2012,35
LAX,38,2012,35
DFW,49,2012,35
SEA,59,2012,35
PHL,56,2012,35
MIA,49,2012,35
DTW,30,2012,35
BOS,36,2012,35
MSP,46,2012,35
CLT,51,2012,35
PHX,26,2012,35
MCO,68,2012,35
JFK,73,2012,36
LGA,73,2012,36
EWR,73,2012,36
ORD,62,2012,36
LAS,47,2012,36
DEN,41,2012,36
ATL,30,2012,36
SFO,47,2012,36
IAH,64,2012,36
LAX,41,2012,36
DFW,48,2012,36
SEA,50,2012,36
PHL,35,2012,36
MIA,57,2012,36
DTW,44,2012,36
BOS,48,2012,36
MSP,45,2012,36
CLT,42,2012,36
PHX,20,2012,36
MCO,69,2012,36
JFK,81,2012,37
LGA,81,2012,37
EWR,81,2012,37
ORD,74,2012,37
LAS,53,2012,37
DEN,51,2012,37
ATL,35,2012,37
SFO,95,2012,37
IAH,88,2012,37
LAX,100,2012,37
DFW,54,2012,37
SEA,59,2012,37
PHL,39,2012,37
MIA,60,2012,37
DTW,43,2012,37
BOS,62,2012,37
MSP,50,2012,37
CLT,27,2012,37
PHX,23,2012,37
MCO,61,2012,37
JFK,71,2012,38
LGA,71,2012,38
EWR,71,2012,38
ORD,76,2012,38
LAS,64,2012,38
DEN,37,2012,38
ATL,33,2012,38
SFO,61,2012,38
IAH,69,2012,38
LAX,33,2012,38
DFW,62,2012,38
SEA,63,2012,38
PHL,26,2012,38
MIA,46,2012,38
DTW,56,2012,38
BOS,68,2012,38
MSP,35,2012,38
CLT,42,2012,38
PHX,20,2012,38
MCO,46,2012,38
JFK,72,2012,39
LGA,72,2012,39
EWR,72,2012,39
ORD,64,2012,39
LAS,58,2012,39
DEN,40,2012,39
ATL,32,2012,39
SFO,51,2012,39
IAH,57,2012,39
LAX,32,2012,39
DFW,64,2012,39
SEA,61,2012,39
PHL,39,2012,39
MIA,55,2012,39
DTW,32,2012,39
BOS,66,2012,39
MSP,47,2012,39
CLT,36,2012,39
PHX,23,2012,39
MCO,61,2012,39
JFK,72,2012,40
LGA,72,2012,40
EWR,72,2012,40
ORD,51,2012,40
LAS,60,2012,40
DEN,37,2012,40
ATL,27,2012,40
SFO,79,2012,40
IAH,61,2012,40
LAX,33,2012,40
DFW,35,2012,40
SEA,43,2012,40
PHL,38,2012,40
MIA,73,2012,40
DTW,36,2012,40
BOS,33,2012,40
MSP,44,2012,40
CLT,28,2012,40
PHX,32,2012,40
MCO,47,2012,40
JFK,69,2012,41
LGA,69,2012,41
EWR,69,2012,41
ORD,57,2012,41
LAS,55,2012,41
DEN,65,2012,41
ATL,34,2012,41
SFO,58,2012,41
IAH,70,2012,41
LAX,27,2012,41
DFW,56,2012,41
SEA,44,2012,41
PHL,35,2012,41
MIA,67,2012,41
DTW,62,2012,41
BOS,49,2012,41
MSP,38,2012,41
CLT,31,2012,41
PHX,23,2012,41
MCO,78,2012,41
JFK,65,2012,42
LGA,65,2012,42
EWR,65,2012,42
ORD,65,2012,42
LAS,60,2012,42
DEN,50,2012,42
ATL,34,2012,42
SFO,82,2012,42
IAH,63,2012,42
LAX,30,2012,42
DFW,40,2012,42
SEA,45,2012,42
PHL,55,2012,42
MIA,70,2012,42
DTW,56,2012,42
BOS,56,2012,42
MSP,38,2012,42
CLT,46,2012,42
PHX,25,2012,42
MCO,70,2012,42
JFK,100,2012,43
LGA,100,2012,43
EWR,100,2012,43
ORD,93,2012,43
LAS,52,2012,43
DEN,53,2012,43
ATL,43,2012,43
SFO,83,2012,43
IAH,67,2012,43
LAX,34,2012,43
DFW,58,2012,43
SEA,55,2012,43
PHL,100,2012,43
MIA,65,2012,43
DTW,76,2012,43
BOS,90,2012,43
MSP,70,2012,43
CLT,53,2012,43
PHX,24,2012,43
MCO,70,2012,43
JFK,72,2012,44
LGA,72,2012,44
EWR,72,2012,44
ORD,66,2012,44
LAS,55,2012,44
DEN,69,2012,44
ATL,33,2012,44
SFO,68,2012,44
IAH,73,2012,44
LAX,32,2012,44
DFW,54,2012,44
SEA,64,2012,44
PHL,52,2012,44
MIA,49,2012,44
DTW,32,2012,44
BOS,42,2012,44
MSP,37,2012,44
CLT,23,2012,44
PHX,26,2012,44
MCO,59,2012,44
JFK,62,2012,45
LGA,62,2012,45
EWR,62,2012,45
ORD,59,2012,45
LAS,49,2012,45
DEN,53,2012,45
ATL,39,2012,45
SFO,71,2012,45
IAH,73,2012,45
LAX,24,2012,45
DFW,44,2012,45
SEA,59,2012,45
PHL,47,2012,45
MIA,54,2012,45
DTW,38,2012,45
BOS,48,2012,45
MSP,48,2012,45
CLT,31,2012,45
PHX,29,2012,45
MCO,71,2012,45
JFK,60,2012,46
LGA,60,2012,46
EWR,60,2012,46
ORD,84,2012,46
LAS,51,2012,46
DEN,59,2012,46
ATL,30,2012,46
SFO,68,2012,46
IAH,50,2012,46
LAX,31,2012,46
DFW,51,2012,46
SEA,60,2012,46
PHL,43,2012,46
MIA,51,2012,46
DTW,53,2012,46
BOS,41,2012,46
MSP,68,2012,46
CLT,33,2012,46
PHX,26,2012,46
MCO,47,2012,46
JFK,56,2012,47
LGA,56,2012,47
EWR,56,2012,47
ORD,59,2012,47
LAS,38,2012,47
DEN,41,2012,47
ATL,32,2012,47
SFO,81,2012,47
IAH,51,2012,47
LAX,32,2012,47
DFW,44,2012,47
SEA,55,2012,47
PHL,39,2012,47
MIA,65,2012,47
DTW,52,2012,47
BOS,41,2012,47
MSP,52,2012,47
CLT,38,2012,47
PHX,24,2012,47
MCO,69,2012,47
JFK,65,2012,48
LGA,65,2012,48
EWR,65,2012,48
ORD,54,2012,48
LAS,52,2012,48
DEN,43,2012,48
ATL,34,2012,48
SFO,62,2012,48
IAH,60,2012,48
LAX,26,2012,48
DFW,39,2012,48
SEA,58,2012,48
PHL,55,2012,48
MIA,75,2012,48
DTW,49,2012,48
BOS,36,2012,48
MSP,25,2012,48
CLT,33,2012,48
PHX,22,2012,48
MCO,55,2012,48
JFK,56,2012,49
LGA,56,2012,49
EWR,56,2012,49
ORD,56,2012,49
LAS,45,2012,49
DEN,47,2012,49
ATL,27,2012,49
SFO,47,2012,49
IAH,59,2012,49
LAX,26,2012,49
DFW,35,2012,49
SEA,51,2012,49
PHL,40,2012,49
MIA,63,2012,49
DTW,41,2012,49
BOS,33,2012,49
MSP,69,2012,49
CLT,32,2012,49
PHX,17,2012,49
MCO,57,2012,49
JFK,70,2012,50
LGA,70,2012,50
EWR,70,2012,50
ORD,94,2012,50
LAS,58,2012,50
DEN,66,2012,50
ATL,35,2012,50
SFO,100,2012,50
IAH,72,2012,50
LAX,32,2012,50
DFW,58,2012,50
SEA,61,2012,50
PHL,64,2012,50
MIA,70,2012,50
DTW,90,2012,50
BOS,50,2012,50
MSP,74,2012,50
CLT,40,2012,50
PHX,26,2012,50
MCO,71,2012,50
JFK,97,2012,51
LGA,97,2012,51
EWR,97,2012,51
ORD,91,2012,51
LAS,61,2012,51
DEN,79,2012,51
ATL,51,2012,51
SFO,70,2012,51
IAH,98,2012,51
LAX,34,2012,51
DFW,82,2012,51
SEA,72,2012,51
PHL,67,2012,51
MIA,79,2012,51
DTW,95,2012,51
BOS,74,2012,51
MSP,67,2012,51
CLT,56,2012,51
PHX,29,2012,51
MCO,83,2012,51
JFK,77,2012,52
LGA,77,2012,52
EWR,77,2012,52
ORD,73,2012,52
LAS,75,2012,52
DEN,72,2012,52
ATL,38,2012,52
SFO,50,2012,52
IAH,83,2012,52
LAX,36,2012,52
DFW,66,2012,52
SEA,83,2012,52
PHL,49,2012,52
MIA,77,2012,52
DTW,68,2012,52
BOS,45,2012,52
MSP,51,2012,52
CLT,42,2012,52
PHX,37,2012,52
MCO,71,2012,52
JFK,77,2013,1
LGA,77,2013,1
EWR,77,2013,1
ORD,68,2013,1
LAS,72,2013,1
DEN,51,2013,1
ATL,34,2013,1
SFO,72,2013,1
IAH,87,2013,1
LAX,35,2013,1
DFW,53,2013,1
SEA,63,2013,1
PHL,45,2013,1
MIA,65,2013,1
DTW,65,2013,1
BOS,45,2013,1
MSP,47,2013,1
CLT,27,2013,1
PHX,28,2013,1
MCO,88,2013,1
JFK,75,2013,2
LGA,75,2013,2
EWR,75,2013,2
ORD,66,2013,2
LAS,69,2013,2
DEN,60,2013,2
ATL,40,2013,2
SFO,53,2013,2
IAH,73,2013,2
LAX,39,2013,2
DFW,59,2013,2
SEA,69,2013,2
PHL,57,2013,2
MIA,86,2013,2
DTW,47,2013,2
BOS,57,2013,2
MSP,57,2013,2
CLT,41,2013,2
PHX,19,2013,2
MCO,82,2013,2
JFK,69,2013,3
LGA,69,2013,3
EWR,69,2013,3
ORD,68,2013,3
LAS,65,2013,3
DEN,44,2013,3
ATL,26,2013,3
SFO,73,2013,3
IAH,68,2013,3
LAX,35,2013,3
DFW,39,2013,3
SEA,50,2013,3
PHL,45,2013,3
MIA,79,2013,3
DTW,46,2013,3
BOS,57,2013,3
MSP,64,2013,3
CLT,50,2013,3
PHX,25,2013,3
MCO,69,2013,3
JFK,61,2013,4
LGA,61,2013,4
EWR,61,2013,4
ORD,72,2013,4
LAS,71,2013,4
DEN,51,2013,4
ATL,40,2013,4
SFO,59,2013,4
IAH,53,2013,4
LAX,37,2013,4
DFW,52,2013,4
SEA,60,2013,4
PHL,51,2013,4
MIA,70,2013,4
DTW,58,2013,4
BOS,54,2013,4
MSP,39,2013,4
CLT,39,2013,4
PHX,25,2013,4
MCO,80,2013,4
JFK,81,2013,5
LGA,81,2013,5
EWR,81,2013,5
ORD,77,2013,5
LAS,67,2013,5
DEN,56,2013,5
ATL,32,2013,5
SFO,61,2013,5
IAH,70,2013,5
LAX,32,2013,5
DFW,50,2013,5
SEA,52,2013,5
PHL,67,2013,5
MIA,75,2013,5
DTW,70,2013,5
BOS,94,2013,5
MSP,64,2013,5
CLT,47,2013,5
PHX,25,2013,5
MCO,77,2013,5
JFK,76,2013,6
LGA,76,2013,6
EWR,76,2013,6
ORD,52,2013,6
LAS,56,2013,6
DEN,45,2013,6
ATL,33,2013,6
SFO,45,2013,6
IAH,69,2013,6
LAX,28,2013,6
DFW,52,2013,6
SEA,54,2013,6
PHL,42,2013,6
MIA,59,2013,6
DTW,53,2013,6
BOS,62,2013,6
MSP,77,2013,6
CLT,52,2013,6
PHX,28,2013,6
MCO,66,2013,6
JFK,60,2013,7
LGA,60,2013,7
EWR,60,2013,7
ORD,90,2013,7
LAS,75,2013,7
DEN,53,2013,7
ATL,36,2013,7
SFO,58,2013,7
IAH,80,2013,7
LAX,36,2013,7
DFW,51,2013,7
SEA,62,2013,7
PHL,60,2013,7
MIA,75,2013,7
DTW,60,2013,7
BOS,69,2013,7
MSP,90,2013,7
CLT,44,2013,7
PHX,27,2013,7
MCO,92,2013,7
JFK,80,2013,8
LGA,80,2013,8
EWR,80,2013,8
ORD,89,2013,8
LAS,85,2013,8
DEN,68,2013,8
ATL,38,2013,8
SFO,64,2013,8
IAH,65,2013,8
LAX,37,2013,8
DFW,61,2013,8
SEA,73,2013,8
PHL,52,2013,8
MIA,73,2013,8
DTW,76,2013,8
BOS,74,2013,8
MSP,62,2013,8
CLT,42,2013,8
PHX,25,2013,8
MCO,63,2013,8
JFK,81,2013,9
LGA,81,2013,9
EWR,81,2013,9
ORD,98,2013,9
LAS,64,2013,9
DEN,62,2013,9
ATL,38,2013,9
SFO,63,2013,9
IAH,67,2013,9
LAX,46,2013,9
DFW,69,2013,9
SEA,70,2013,9
PHL,69,2013,9
MIA,93,2013,9
DTW,95,2013,9
BOS,100,2013,9
MSP,83,2013,9
CLT,43,2013,9
PHX,27,2013,9
MCO,93,2013,9
JFK,81,2013,10
LGA,81,2013,10
EWR,81,2013,10
ORD,98,2013,10
LAS,64,2013,10
DEN,62,2013,10
ATL,38,2013,10
SFO,63,2013,10
IAH,67,2013,10
LAX,46,2013,10
DFW,69,2013,10
SEA,70,2013,10
PHL,69,2013,10
MIA,93,2013,10
DTW,95,2013,10
BOS,100,2013,10
MSP,83,2013,10
CLT,43,2013,10
PHX,27,2013,10
MCO,93,2013,10
JFK,81,2013,10
LGA,81,2013,10
EWR,81,2013,10
ORD,98,2013,10
LAS,64,2013,10
DEN,62,2013,10
ATL,38,2013,10
SFO,63,2013,10
IAH,67,2013,10
LAX,46,2013,10
DFW,69,2013,10
SEA,70,2013,10
PHL,69,2013,10
MIA,93,2013,10
DTW,95,2013,10
BOS,100,2013,10
MSP,83,2013,10
CLT,43,2013,10
PHX,27,2013,10
MCO,93,2013,10
